CONF_PARAM_DEC_ID;CONF_PARAM_MSG_ID;CONF_PARAM_MSG_LABEL;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
303;255;Day for sub-cycle #N surfacing (mission day);CONFIG_SurfaceDay_FloatDay;Day of the float surfacing
304;255;Estimated hour on surface for sub-cycle #N;CONFIG_SurfaceTime_HH;Hour of the float surfacing
305;255;Parking depth #N (dbar);CONFIG_ParkPressure_dbar;park pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
306;255;Profile depth #N (dbar);CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
307;255;Transmission after the sub-cycle #N (1/0 = Yes/No);CONFIG_TransmissionEndCycle_LOGICAL;The float performs a telemetry transmission at the end of the cycle (Yes=1/No=0).
400;255;Number of different cycle durations (1 to 5);CONFIG_NumberOfInternalCycles_COUNT;Number of internal cycles. Note that the sub-cycle (i.e. final Argo cycle) durations are not really defined they are deduced from CONFIG_SurfaceDay_FloatDay and CONFIG_SurfaceTime_HH).
401;255;Iridium End Of Life Period (min);CONFIG_TransmissionPeriodEndOfLife_minutes;Period of the Iridium transmission when in End Of Life mode (in minutes).
402;255;Iridium 2nd session waiting time (min);CONFIG_TelemetryRepeatSessionDelay_minutes;Delay before a second Iridium session performed by the float just before diving for a new cycle (in minutes).
403;255;Cycle period #P (in hours);CONFIG_InternalCycleTime<D>_hours;Internal cycle duration #<D> (in hours). (D is a number denoting the internal cycle label)
404;255;End day for duration#P;CONFIG_InternalCycle<D>LastGregDay_DD;Last day to use float cycle duration #<D> (in gregorian day). (D is a number denoting the internal cycle label)
405;255;End month for duration#P;CONFIG_InternalCycle<D>LastGregMonth_MM;Last month to use float cycle duration #<D> (in gregorian month). (D is a number denoting the internal cycle label)
406;255;End year for duration#P;CONFIG_InternalCycle<D>LastGregYear_YYYY;Last year to use float cycle duration #<D> (in gregorian year, two digits). (D is a number denoting the internal cycle label)
407;255;;CONFIG_CycleTime_hours;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
500;251;Sampling period for X in descent to parking depth (in zone #Z) (in seconds);CONFIG_<short_sensor_name>DescentToParkPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the descent to parking pressure in the depth zone #<N> (in seconds).
1500;251;Sampling period for X in descent to parking depth (in zone #Z) (in seconds);CONFIG_AUX_<short_sensor_name>DescentToParkPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the descent to parking pressure in the depth zone #<N> (in seconds).
501;251;Sampling period for X in parking drift (in zone #Z) (in minutes);CONFIG_<short_sensor_name>ParkDriftPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the drift at parking pressure in the depth zone #<N> (in minutes).
1501;251;Sampling period for X in parking drift (in zone #Z) (in minutes);CONFIG_AUX_<short_sensor_name>ParkDriftPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the drift at parking pressure in the depth zone #<N> (in minutes).
502;251;Sampling period for X in descent to profile depth (in zone #Z) (in seconds);CONFIG_<short_sensor_name>DescentToProfPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the descent to profile pressure in the depth zone #<N> (in seconds).
1502;251;Sampling period for X in descent to profile depth (in zone #Z) (in seconds);CONFIG_AUX_<short_sensor_name>DescentToProfPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the descent to profile pressure in the depth zone #<N> (in seconds).
503;251;Sampling period for X in profile depth drift (in zone #Z) (in minutes);CONFIG_<short_sensor_name>ProfDriftPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the drift at profile pressure in the depth zone #<N> (in minutes).
1503;251;Sampling period for X in profile depth drift (in zone #Z) (in minutes);CONFIG_AUX_<short_sensor_name>ProfDriftPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the drift at profile pressure in the depth zone #<N> (in minutes).
504;251;Sampling period for X in ascent profile (in zone #Z) (in seconds);CONFIG_<short_sensor_name>AscentPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the ascending profile in the depth zone #<N> (in seconds).
1504;251;Sampling period for X in ascent profile (in zone #Z) (in seconds);CONFIG_AUX_<short_sensor_name>AscentPhaseDepthZone<N>SamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the ascending profile in the depth zone #<N> (in seconds).
505;251;Power acquisition mode for X in zone #Z (0 : none, 2 : pulsed, 3 : continuous);CONFIG_<short_sensor_name>DepthZone<N>PowerAcquisitionMode_NUMBER;Power acquisition mode of the <short_sensor_name> in the depth zone #<N> (0 : none, 2 : pulsed, 3 : continuous).
1505;251;Power acquisition mode for X in zone #Z (0 : none, 2 : pulsed, 3 : continuous);CONFIG_AUX_<short_sensor_name>DepthZone<N>PowerAcquisitionMode_NUMBER;Power acquisition mode of the <short_sensor_name> in the depth zone #<N> (0 : none, 2 : pulsed, 3 : continuous).
506;251;Treatment type for X in zone #Z (0 : raw, 1 : average, 7 : average/median/standard deviation);CONFIG_<short_sensor_name>DepthZone<N>DataProcessingMode_NUMBER;Data processing output of the <short_sensor_name> in the depth zone #<N> (0 : raw, 1 : average, 7 : average/median/standard deviation).
1506;251;Treatment type for X in zone #Z (0 : raw, 1 : average, 7 : average/median/standard deviation);CONFIG_AUX_<short_sensor_name>DepthZone<N>DataProcessingMode_NUMBER;Data processing output of the <short_sensor_name> in the depth zone #<N> (0 : raw, 1 : average, 7 : average/median/standard deviation).
508;251;Slices thickness for X in zone #Z (in dbars);CONFIG_<short_sensor_name>DepthZone<N>SlicesThickness_dbar;Slices thickness for <short_sensor_name> in the depth zone #<N> (in dbars).
1508;251;Slices thickness for X in zone #Z (in dbars);CONFIG_AUX_<short_sensor_name>DepthZone<N>SlicesThickness_dbar;Slices thickness for <short_sensor_name> in the depth zone #<N> (in dbars).
509;251;Threshold zone #1 / zone #2 for X;CONFIG_<short_sensor_name>DepthZone<N>DepthZone<N+1>PressureThreshold_dbar;Threshold between depth zone #N and depth zone #N+1 for <short_sensor_name>  (in dbars).
1509;251;Threshold zone #1 / zone #2 for X;CONFIG_AUX_<short_sensor_name>DepthZone<N>DepthZone<N+1>PressureThreshold_dbar;Threshold between depth zone #N and depth zone #N+1 for <short_sensor_name>  (in dbars).
600;251;CTD power warm-up time (msec);CONFIG_<short_sensor_name>WarmUpTime_msec;Time, needed after the <short_sensor_name> is powered ON, to provide its first sample (in milli-seconds).
1600;251;CTD power warm-up time (msec);CONFIG_AUX_<short_sensor_name>WarmUpTime_msec;Time, needed after the <short_sensor_name> is powered ON, to provide its first sample (in milli-seconds).
601;251;Power OFF time between power ON retry of CTD (msec);CONFIG_<short_sensor_name>PowerSwitchDelayMin_msec;Minimum waiting time needed by the <short_sensor_name> between a switch OFF and a switch ON (in milli-seconds).
1601;251;Power OFF time between power ON retry of CTD (msec);CONFIG_AUX_<short_sensor_name>PowerSwitchDelayMin_msec;Minimum waiting time needed by the <short_sensor_name> between a switch OFF and a switch ON (in milli-seconds).
602;251;1st «valid sample» rank of CTD;CONFIG_<short_sensor_name>FirstValidSample_NUMBER;Rank of the first valid sample provided by the <short_sensor_name> (0 is the rank of the first sample).
1602;251;1st «valid sample» rank of CTD;CONFIG_AUX_<short_sensor_name>FirstValidSample_NUMBER;Rank of the first valid sample provided by the <short_sensor_name> (0 is the rank of the first sample).
604;251;Cut-off pressure of CTD (dbar);CONFIG_CTDPumpStopPressure_dbar;The pressure at which the CTD pump is switched off.  As the float ascends, the code looks at the pressure and if <= CONFIG_CTDPumpStopPressure, the CTD is turned off. CTDPumpStopPressure is a firmware threshold and as such, data may continue to be collected for a limited span after the threshold is recognized. Especially in floats that return high resolution discrete data, there might be data collected shallower than the cut off, due to the discrete nature of the pressure data and also due to the time necessary for the firmware to turn off the CTD once the pressure threshold is reached. For example for SOLOII floats the CTD is switched off at 1dbar, and typically the shallowest data is from 0.5 to 0.8 dbar. This shallow data should be carefully assessed for its validity.
605;251;Min pressure of CTD (dbar);CONFIG_CtdMinTransmittedPressure_dbar;Minimum value of transmitted Ctd pressure measurements (in dbars).
606;251;Max pressure of CTD (dbar);CONFIG_CtdMaxTransmittedPressure_dbar;Maximum value of transmitted Ctd pressure measurements (in dbars).
607;251;Min temperature of CTD (m°C);CONFIG_CtdMinTransmittedTemperature_mdegC;Minimum value of transmitted Ctd temperature measurements (in milli-DegC).
608;251;Max temperature of CTD (m°C);CONFIG_CtdMaxTransmittedTemperature_mdegC;Maximum value of transmitted Ctd temperature measurements (in milli-DegC).
609;251;Min salinity of CTD (mPSU);CONFIG_CtdMinTransmittedSalinity_mpsu;Minimum value of transmitted Ctd salinity measurements (in milli-PSU).
610;251;Max salinity of CTD (mPSU);CONFIG_CtdMaxTransmittedSalinity_mpsu;Maximum value of transmitted Ctd salinity measurements (in milli-PSU).
613;251;Reject measurement during pumping;CONFIG_AUX_CtdIgnoreSamplesWhenPumpActive_LOGICAL;Ignore sample measurements acquired while the hydraulic pump is running (Yes=1/No=0). 
614;251;Allow resetoffset at surface;CONFIG_PressureOffsetResetAtSurface_LOGICAL;Reset the surface pressure offset value when the float is at the surface (Yes=1/No=0)
615;-1;Cut-off pressure of the ascent profile;CONFIG_CTDPumpStopPressurePlusThreshold_dbar;The sum of CONFIG_CTDPumpStopPressure_dbar plus a pressure threshold or overlap (Poverlap). For PROVOR floats, Poverlap is defined as follows:  Poverlap = bin_size/2 for PROVOR floats with software versions < 5816A00 and ARVOR floats with software versions < 5605A00. Poverlap = 0.5 dbar for PROVOR floats with software versions >= 5816A00 and ARVOR floats with software versions >=5605A00.
620;251;Min D phase of OPTODE (deg);CONFIG_OptodeMinTransmittedDPhase_angularDeg;Minimum value of transmitted Optode D phase measurements (in degrees).
621;251;Max D phase of OPTODE (deg);CONFIG_OptodeMaxTransmittedDPhase_angularDeg;Maximum value of transmitted Optode D phase measurements (in degrees).
624;251;Min T° of OPTODE (m°C);CONFIG_OptodeMinTransmittedTemperature_mdegC;Minimum value of transmitted Optode temperature measurements (in milli-DegC).
625;251;Max T° of OPTODE (m°C);CONFIG_OptodeMaxTransmittedTemperature_mdegC;Maximum value of transmitted Optode temperature measurements (in milli-DegC).
626;251;Reject measurement during pumping;CONFIG_OptodeIgnoreSamplesWhenPumpActive_LOGICAL;Ignore sample measurements acquired while the hydraulic pump is running (Yes=1/No=0). 
631;251;Min chlorophyll of FLNTU;CONFIG_FlntuMinTransmittedChlaFluorescence_COUNT;Minimum value of transmitted <sensor short name> Fluorescence of <param> measurements (in counts).
632;251;Max chlorophyll of FLNTU;CONFIG_FlntuMaxTransmittedChlaFluorescence_COUNT;Minimum value of transmitted <sensor short name> Fluorescence of <param> measurements (in counts).
633;251;Min scattering of FLNTU;CONFIG_FlntuMaxTransmittedTurbidity_COUNT;Maximum value of transmitted Flntu turbidity measurements (in counts).
634;251;Max scattering of FLNTU;CONFIG_FlntuMinTransmittedTurbidity_COUNT;Minimum value of transmitted Flntu turbidity measurements (in counts).
639;251;Reject measurement during pumping;CONFIG_FlntuIgnoreSamplesWhenPumpActive_LOGICAL;Ignore sample measurements acquired while the hydraulic pump is running (Yes=1/No=0). 
644;251;Average sample max;CONFIG_AUX_CycNbSamplesAveragedPerMeas_COUNT;Number of samples averaged for each output measurement.
645;251;Min analogic voltage;CONFIG_AUX_CycMinTransmittedChlaFluorescence_volts;Minimum value of transmitted Cyc Fluorescence of Chla measurements (in volts).
646;251;Max analogic voltage;CONFIG_AUX_CycMaxTransmittedChlaFluorescence_volts;Maximum value of transmitted Cyc Fluorescence of Chla measurements (in volts).
651;251;Gain (open-collector state);CONFIG_AUX_CycMeasRange_NUMBER;Range number of the Cyc measurements.
652;251;Reject measurement during pumping;CONFIG_AUX_CycIgnoreSamplesWhenPumpActive_LOGICAL;Ignore sample measurements acquired while the hydraulic pump is running (Yes=1/No=0). 
657;251;Average sample max;CONFIG_AUX_StmNbSamplesAveragedPerMeas_COUNT;Number of samples averaged for each output measurement.
658;251;Min analogic voltage;CONFIG_AUX_StmMinTransmittedTurbidity_volts;Minimum value of transmitted Stm Turbidity measurements (in volts).
659;251;Max analogic voltage;CONFIG_AUX_StmMaxTransmittedTurbidity_volts;Maximum value of transmitted Stm Turbidity measurements (in volts).
664;251;Gain (open-collector state);CONFIG_AUX_StmMeasRange_NUMBER;Range number of the Stm measurements.
665;251;Reject measurement during pumping;CONFIG_AUX_StmIgnoreSamplesWhenPumpActive_LOGICAL;Ignore sample measurements acquired while the hydraulic pump is running (Yes=1/No=0). 
100000;-1;Not in float user manual;CONFIG_VectorBoardShowModeOn_LOGICAL;Is the vector board show mode ON? (Yes/No).
100001;-1;Not in float user manual;CONFIG_SensorBoardShowModeOn_LOGICAL;Is the sensor board show mode ON? (Yes/No).
111000;-1;Not in float user manual;CONFIG_OptodeVerticalPressureOffset_dbar;vertical pressure offset due to the fact that the sensor is not exactly at the Ctd pressure
111007;-1;Not in float user manual;CONFIG_OptodeMeasurementsInAir_LOGICAL;Sensors can be mounted on a stick to perform measurements in Air. Values: Yes = 1, No = 0
111008;-1;Not in float user manual;CONFIG_OptodeTimePressureOffset_seconds;Time interval between  optode and pressure measurements due to the fact that the optode answer is not simultaneous with the CTD/pressure answer
114000;-1;Not in float user manual;CONFIG_FlntuVerticalPressureOffset_dbar;vertical pressure offset due to the fact that the sensor is not exactly at the Ctd pressure
124000;-1;Not in float user manual;CONFIG_FlntuChlaFluorescenceExcitationWavelength_nm;Wavelength of Flntu for excitation of Chla fluorescence measurements (in nanometer)
124001;-1;Not in float user manual;CONFIG_FlntuChlaFluorescenceEmissionWavelength_nm;Wavelength of Flntu for emission of Chla fluorescence measurements (in nanometer)
124002;-1;Not in float user manual;CONFIG_FlntuChlaFluorescenceExcitationBandwidth_nm;Bandwidth of Flntu for excitation of Chla fluorescence measurements (in nanometer)
124003;-1;Not in float user manual;CONFIG_FlntuChlaFluorescenceEmissionBandwidth_nm;Bandwidth of Flntu for emission of Chla fluorescence measurements (in nanometer)
124204;-1;Not in float user manual;CONFIG_FlntuTurbidityWavelength_nm;Wavelength of Flntu  for Turbidity  measurements (in nanometer)
118000;-1;Not in float user manual;CONFIG_AUX_CycVerticalPressureOffset_dbar;vertical pressure offset due to the fact that the sensor is not exactly at the Ctd pressure
128000;-1;Not in float user manual;CONFIG_AUX_CycChlaFluorescenceExcitationWavelength_nm;Wavelength of Cyc for excitation of Chla fluorescence measurements (in nanometer)
128001;-1;Not in float user manual;CONFIG_AUX_CycChlaFluorescenceEmissionWavelength_nm;Wavelength of Cyc for emission of Chla fluorescence measurements (in nanometer)
128002;-1;Not in float user manual;CONFIG_AUX_CycChlaFluorescenceExcitationBandwidth_nm;Bandwidth of Cyc for excitation of Chla fluorescence measurements (in nanometer)
128003;-1;Not in float user manual;CONFIG_AUX_CycChlaFluorescenceEmissionBandwidth_nm;Bandwidth of Cyc for emission of Chla fluorescence measurements (in nanometer)
119000;-1;Not in float user manual;CONFIG_AUX_StmVerticalPressureOffset_dbar;vertical pressure offset due to the fact that the sensor is not exactly at the Ctd pressure
129204;-1;Not in float user manual;CONFIG_AUX_StmTurbidityWavelength_nm;Wavelength of Stm  for Turbidity  measurements (in nanometer)
