CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
MC10;Ascent Sampling Period;Ascent sampling period (seconds) The time interval between successive CTD measurements during ascent. Minimum value is 8 seconds.;CONFIG_AscentSamplingPeriod_seconds;Sampling period during the ascending profile (in seconds).
MC17;Threshold surface/Intermediate Pressure;Threshold surface/Intermediate Pressure (dbar) The isobar that divides surface depths from intermediate depths for the purpose of data reduction. ARVOR-I can transmit up to 2015 samples per cycle. Theoretical number of samples to be acquired can be estimated based on different threshold between 3 zones and on slices thickness.;CONFIG_PressureThresholdDataReductionShallowToIntermediate_dbar;The isobar that divides shallow depths from intermediate depths for the purpose of data reduction with 3 depth zones (in dbars).
MC18;Threshold Intermediate /bottom Pressure;Threshold Intermediate / Bottom Pressure (dbar) The isobar that divides Intermediate depths from shallow depths for the purpose of data reduction. ARVOR-I can transmit up to 2015 samples per cycle. Theoretical number of samples to be acquired can be estimated based on different threshold between 3 zones and on slices thickness.;CONFIG_PressureThresholdDataReductionIntermediateToDeep_dbar;The isobar that divides intermediate depths from deep depths for the purpose of data reduction with 3 depth zones (in dbars).
MC19;Thickness of the surface slices;Thickness of the surface slices (dbar) Thickness of the slices for shallow depths (algorithm of data reduction). ARVOR-I can transmit up to 2015 samples per cycle. Theoretical number of samples to be acquired can be estimated based on different threshold between 3 zones and on slices thickness.;CONFIG_ProfileSurfaceSlicesThickness_dbar;Thickness of the slices for shallow depths (algorithm of data reduction) (in dbars).
MC20;Thickness of the intermediate slices;Thickness of the intermediate slices (dbar) Thickness of the slices for intermediate depths (algorithm of data reduction). ARVOR-I can transmit up to 2015 samples per cycle. Theoretical number of samples to be acquired can be estimated based on different threshold between 3 zones and on slices thickness.;CONFIG_ProfileIntermediateSlicesThickness_dbar;Thickness of the slices for intermediate depths (algorithm of data reduction) (in dbars).
MC21;Thickness of the bottom slices;Thickness of the bottom slices (dbar) Thickness of the slices for deep depths (algorithm of data reduction). ARVOR-I can transmit up to 2015 samples per cycle. Theoretical number of samples to be acquired can be estimated based on different threshold between 3 zones and on slices thickness.;CONFIG_ProfileBottomSlicesThickness_dbar;Thickness of the slices for deep depths (algorithm of data reduction) (in dbars).
MC22;Iridium End Of life period;Iridium End of life transmission period (minutes) Transmission period (in hours) once float is in “end of life mode” (all programmed cycles have been reached. Float send Technical SBD message.;CONFIG_TransmissionPeriodEndOfLife_minutes;Period of the Iridium transmission when in End Of Life mode (in minutes).
MC23;2nd Iridium Session Wait Period;2nd Iridium Session Wait Period (min) At beginning of cycle, if this parameter is different of zero, 2 SBD sessions will occur. This enable to check if a change on mission or technical parameter has been correctly treated by float and if new parameters are effective for next cycle. After the 1st transmission, float will wait for MC23 minutes before proceeding to 2nd transmission.;CONFIG_TelemetryRepeatSessionDelay_minutes;Delay before a second Iridium session performed by the float just before diving for a new cycle (in minutes).
MC24;Grounding mode (0= Shift, 1 : Stay grounded);Grounding mode MC24 = 0 means shift, MC24 = 1, means float stay grounded.;CONFIG_GroundingMode_LOGICAL;Action performed by the float when a grounding is detected. 0: the float changes its drift pressure, 1: the float stays on the seabed until the next phase of the cycle.
MC25;Grouding switch pressure;Grounding switch pressure In case of grounding during descent to parking depth, float will reduce target pressure from MC25 dBars.;CONFIG_GroundingModePresAdjustment_dbar;If in grounding mode 0, the float changes its drift pressure to its programmed one minus this value only if its current pressure is greater than this value.
MC26;Delay at surface if grounding at surface;Delay in case of grounding at surface (minutes);CONFIG_TimeDelaybeforeDescentRetryWhenStuckAtSurface_minutes;"Time delay between each new attempt to descend when the float is stuck at the surface. When the float cannot reach the pressure threshold defined by ""CONFIG_BuoyancyReductionFirstThreshold_dbar"" after a given number of buoyancy actions it waits a period of time specified by ""CONFIG_TimeDelaybeforeDescentRetryWhenStuckAtSurface_minutes"" before starting a new sequence of buoyancy actions."
MC29;“In Air acquisition” cycle periodicity;“In Air acquisition” cycle periodicity Cycle periodicity for “In Air acquisition to be executed. 0 means no “In Air acquisition 1 means “In Air acquisition” every cycle X means “In Air acquisition” one cycle every “x” cycles;CONFIG_InAirMeasurementPeriodicity_NUMBER;"Cycle periodicity of the ""in air measurement"" phase: - 0 means no ""in air acquisition"" - 1 means ""in air acquisition"" every cycle - N means ""in air acquisition"" one cycle every ""N"" cycles"
MC30;“In Air acquisition” sampling period;“In Air acquisition” sampling period (seconds) Delay between each CTD sample acquired during “In Air acquisition” phase;CONFIG_InAirMeasurementSamplingPeriod_seconds;"Sampling period during the ""in air measurement"" phase."
MC31;“In Air acquisition” total duration;“In Air acquisition” total duration (minutes) Total duration for “In Air” acquisition;CONFIG_InAirMeasurementTime_minutes;"Duration of the ""in air measurement"" phase."
PX00;Profiling direction;The float can perform descending profiles or ascending profiles or both.;CONFIG_Direction_NUMBER;Ascending = 1, Descending = 2, Ascending and Descending = 3
PX01;Cut-off pressure of the CTD pump;During the ascending profile, the CTD pump is switched off at a prescribed depth.;CONFIG_CTDPumpStopPressure_dbar;The pressure at which the CTD pump is switched off.  As the float ascends, the code looks at the pressure and if <= CONFIG_CTDPumpStopPressure, the CTD is turned off. CTDPumpStopPressure is a firmware threshold and as such, data may continue to be collected for a limited span after the threshold is recognized. Especially in floats that return high resolution discrete data, there might be data collected shallower than the cut off, due to the discrete nature of the pressure data and also due to the time necessary for the firmware to turn off the CTD once the pressure threshold is reached. For example for SOLOII floats the CTD is switched off at 1dbar, and typically the shallowest data is from 0.5 to 0.8 dbar. This shallow data should be carefully assessed for its validity.
PX02;Cut-off pressure of the ascent profile;Pressure to use to separate pumped/unpumped data in the ascent profile;CONFIG_CTDPumpStopPressurePlusThreshold_dbar;The sum of CONFIG_CTDPumpStopPressure_dbar plus a pressure threshold or overlap (Poverlap). For PROVOR floats, Poverlap is defined as follows:  Poverlap = bin_size/2 for PROVOR floats with software versions < 5816A00 and ARVOR floats with software versions < 5605A00. Poverlap = 0.5 dbar for PROVOR floats with software versions >= 5816A00 and ARVOR floats with software versions >=5605A00.
TC00;Durée maxi d'activation ev en surface (utilisée pour P < palier1);TBD;CONFIG_SurfaceValveMaxTimeAdditionalActions_csec;Maximum duration of the additional valve actions performed at the surface during the buoyancy reduction phase (in centi-seconds).
TC01;Volume transféré par l'ev maxi autorisé en profondeur;TBD;CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction. So yes, this information is a configuration parameter (and for Remocean float it can be modified via remote controls, but of course by specialist in PROVOR vector configuration).
TC02;Durée maxi d'activation pompe en profondeur;TBD;CONFIG_PumpActionMaxTimeReposition_csec;Maximum duration of the pump action for a drift readjustment (in centi-seconds).
TC03;Durée maxi d'activation pompe en remontée;TBD;CONFIG_PumpActionMaxTimeAscent_csec;Maximum duration of a pump action during ascent (in centi-seconds).
TC04;Durée nominale d'activation pompe en émergence;TBD;CONFIG_PumpActionTimeBuoyancyAcquisition_csec;Duration of the last pump action of the buoyancy acquisition phase (in centi-seconds).
TC05;Tolérance sur l'atteinte de la pression de consigne (+/-);TBD;CONFIG_PressureTargetToleranceForStabilisation_dbar;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).
TC06;Pression maxi à ne pas dépasser;TBD;CONFIG_PressureMaxBeforeEmergencyAscent_dbar;Emergency ascent phase start pressure (in dbars).
TC07;Pression de début de réduction de la durée d'activation ev en surface;TBD;CONFIG_BuoyancyReductionFirstThreshold_dbar;First threshold of the buoyancy reduction phase (in dbars). From the surface to this first threshold, the float performs one initial valve action (of a computed duration) and N1 additional valve actions (of fixed durations) until the crossing of this first threshold.
TC08;Critère de pression de début de plongée;TBD;CONFIG_BuoyancyReductionSecondThreshold_dbar;Second threshold of the buoyancy reduction phase (in dbars). From the first threshold to this second threshold, the float performs N2 additional valve actions (of computed durations) until the crossing of this second threshold. The descent to park phase starts at the crossing of this second threshold.
TC09;Nbre de positions hors tolérance autorisé en dérive conduisant à repositionnement;TBD;CONFIG_NumberOfOutOfTolerancePresBeforeReposition_COUNT;Number of consecutive pressure measurements outside the target pressure interval before performing a drift readjustment.
TC10;Critère d'échouage: volume cumulé;TBD;CONFIG_OilVolumeMinForGroundingDetection_cm^3;This information is a threshold used to detect a grounding of the float. If there is no vertical motion after having tranfered CONFIG_OilVolumeMinForGroundingDetection_cm^3 through the valve, the gounded flag is activated and the float acts as configurated by the CONFIG_GroundingMode_LOGICAL parameter.So, yes it is a configuration parameter (and I can easily understand that it can be modified via remote control since some PROVOR floats have experienced erroneous grounding detection (under study but perhaps due to in-situ conditions).
TC11;Pression en dessous de laquelle le flotteur reste posé en attente profil remontée;TBD;CONFIG_GroundingModeMinPresThreshold_dbar;If in grounding mode 0, the float changes its drift pressure only if its current pressure is greater than this value.
TC12;Tolérance sur maintien de la pression de consigne (+/-);TBD;CONFIG_PressureTargetToleranceDuringDrift_dbar;Defines the target pressure interval for float drift at parking or profile depth (in dbars).
TC13;Vitesse moyenne descente;TBD;CONFIG_DescentSpeed_mm/s;Descent speed during downcast in mm/s (can be used to estimate the time to descent from parking pressure to profile pressure)
TC15;Pression de fin de remontée.;TBD;CONFIG_AscentEndThreshold_dbar;Threshold used by the float to stop ascent speed control and pump actions.
TC16;Vitesse moyenne de remontée.;TBD;CONFIG_AscentSpeed_mm/s;ascent speed during upcast in mm/s or cm/s (can be used to estimate the profile duration)
TC17;Période de mesure de la pression en remontée (période du contrôle de la vitesse de remontée).;TBD;CONFIG_PressureCheckTimeAscent_minutes;Period of the pressure checks during the float ascent to surface (in minutes).
TC18;Ecart de pression pour stabilisation en remontée (tous les TC17, si |DP|  < TC18 => action de pompe).;TBD;CONFIG_AscentVerticalThresholdForBuoyancyAction_dbar;If the float vertical motion, during CONFIG_PressureCheckTimeAscent_minutes, is less than this threshold, the float makes buoyancy adjustments.
TC19;GPS session duration;TBD;CONFIG_GPSTimeout_minutes;Timeout for GPS acquisition.
TC20;Transmission message hydraulique (0 non, 1 oui).;TBD;CONFIG_HydraulicDataTransmission_LOGICAL;The float transmits hydraulic data at the end of the cycle. The float records the pump/valve actions (time, pressure, duration), these data can be transmitted (or not) in specific SBD messages through a remote control command.  Input: (Yes=1/No=0).
TC21;Delay before resetoffset;TBD;CONFIG_PressureOffsetDelayBeforeResetCommand_minutes;Float waiting period before the Surface ResetOffset CTD command. NKE introduced a delay (in minutes) between the end of the transmission and the ResetOffset command (because surface pressure measurements seem to be corrupted by float transmission).
TC22;Duration Pump during for surfacing with “In Air Acqu”;TBD;CONFIG_PumpActionTimeBuoyancyAcquisitionForInAirMeasCycle_csec;"Duration of the last pump action of the buoyancy acquisition phase when a ""in air measurement"" phase is programmed (in centi-seconds). [For a cycle without ""in air measurement phase"" it is CONFIG_PumpActionTimeBuoyancyAcquisition_csec]."
TC23;Iridium timeout;TBD;CONFIG_ConnectionTimeOut_minutes;Connection time-out, i.e. maximum transmission period for one telemetry session
TC24;Coefficient de calibrage pression Coeff A (coefficient de calibration utilisé pour convertir la pression interne).;TBD;CONFIG_InternalPressureCalibrationCoef1_NUMBER;First coefficient used to compute float internal pressure in mBars from sensor counts.
TC25;Coefficient de calibrage pression Coeff B (coefficient de calibration utilisé pour convertir la pression interne).;TBD;CONFIG_InternalPressureCalibrationCoef2_NUMBER;Second coefficient used to compute float internal pressure in mBars from sensor counts.
IC00;Nb of day without surface emergence if Ice detected;TBD;CONFIG_IceDetectionSpringInhibitionDelaySinceLastIceEvasion_days;Maximum delay (in days/cycles) since the last ice evasiondate to attempt a surfacing.  This is often called the 'Spring', where the float stays underwater for a time even though the temperature has warmed.
IC01;Nb of day before surface emergence even with ice detected;TBD;CONFIG_IceDetectionMaxDaysNoTransmission_NUMBER;Maximum delay (in days/cycles) of no transmission due to the ice detection algorithm. This parameter is used to disable the ice detection algorithmand force the float to surface even if ice is detected.
IC02;Nb of detection to confirm Ice at surface;TBD;CONFIG_IceDetectionConsecutiveDetectionBeforeFloatSurfaceInhibition_NUMBER;Number of consecutive ISA detections before float surface inhibition.If fewer consecutive ice detections are made, then the float will immediately seek the surface if mixed layer temp is warm.
IC03;Start pressure detection;TBD;CONFIG_IceDetectionMixedLayerPMax_dbar;Maximum sampling pressure used by ice cover detection algorithm. i.e. start pressure threshold for the ice detection algorithm.
IC04;Stop pressure detection;TBD;CONFIG_IceDetectionMixedLayerPMin_dbar;Minimum sampling pressure used by ice cover detection algorithm.
IC05;Temperature threshold;TBD;CONFIG_IceDetection_degC;Ice temperature in [degree Celsius/1e3] where profiles are aborted because of ice formation conditions
IC06;Slowdown pressure threshold;TBD;CONFIG_AscentSpeedStartPressureThresholdForSlowPhase_dbar;Pressure threshold to start the slow ascent speed phase.
IC07;Pressure acquisition period during ascent (slow speed), once P < IC6;TBD;CONFIG_IceDetectionPressureInterval_dbar;Period of the ice detection algorithm.
IC08;Pressure delta min before pump action;TBD;CONFIG_IceDetectionAscentVerticalThresholdForBuoyancyAction_dbar;Similar to CONFIG_AscentVerticalThresholdForBuoyancyAction_dbar but for a float in ice detection mode.
IC09;Pump action duration;TBD;CONFIG_IceDetectionPumpActionMaxTimeAscent_csec;Similar to CONFIG_PumpActionMaxTimeAscent_csec but for a float in ice detection mode.
IC10;GPS timeout;TBD;CONFIG_GPSTimeout_minutes;Timeout for GPS acquisition.
IC11;1st Iridium lock timetout;TBD;CONFIG_IceDetectionConnectionTimeOut_minutes;Similar to CONFIG_ConnectionTimeOut_minutes but for the first telemetry session of a float in ice detection mode(i.e. in ice detection mode the float reduces the timeout of the first Iridium connection: if the first connection fails the cycle is aborted (ice probably present) but if the first connection succeeds (waters free of ice) the float switches to the nominal timeout (CONFIG_ConnectionTimeOut_minutes) for the following transmissions of the current cycle).
IC12;Delay before ascent blocking detection;TBD;CONFIG_IceDetectionNoVerticalMotionTimeOut_csec;When the float is in ice detection mode if, despite of pump actions, no vertical motion is detected during this delay, the cycle is aborted.
IC13;Pressure variation for speed inversion;TBD;CONFIG_IceDetectionDescentVerticalThresholdToEndBuoyancyInversionPhase_dbar;When the cycle is aborted this threshold is used to detect speed inversion and to stop buoyancy inversion phase.
IC14;Valve action volume;;CONFIG_IceDetectionOilVolumePerValveAction_cm^3;Valve action duration during the buoyancy inversion phase.
IC15;Max valve volume to detect grounding on descent;TBD;CONFIG_IceDetectionOilVolumeMinForGroundingDetection_cm^3;Similar to CONFIG_OilVolumeMinForGroundingDetection_cm^3 but for a float in a buoyancy inversion phase.
PX03;Ice detection activity flag;Mandatory configuration parameter for Ice floats.;CONFIG_BitMaskMonthsIceDetectionActive_NUMBER;This parameter indicates for which months the ice detection algorithm is active. The bit mask is input as a 3 digit hexadecimal value in the mission file sent to the float. This parameter in the metadata file however is the decimal number of that hexadecimal value. For example for the Southern Hemisphere the default position is to have the ice detection algorithm active for all months except February. (The hexadecimal value in the mission file is 'FFD' and the number for the configuration parameter in the metafile would be 4093). The northern hemisphere default would be all months active except for August. In this case the hexadecimal value is 'F7F' and the number in the configuration parameter in the metafile would be 3967). 
