CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
PM12;Delay Before Mission;The time delay between activation and the float becoming operational on its mission.;CONFIG_DelayBeforeMissionStart_minutes;Float waiting period before the first cycle of its mission (in minutes).
PM13;End of Life Message Interval;The interval between housekeeping messages at the end-of-life.;CONFIG_TransmissionPeriodEndOfLife_minutes;Period of the Iridium transmission when in End Of Life mode (in minutes).
PM14;Reference Day;Set this to zero (0) to set an immediate profile post deployment, after which the cycle period applies.;CONFIG_FloatReferenceDay_FloatDay;Profiler configuration - Reference day, for PROVOR and ARVOR floats this is: The day number on which the first profile is to be made. The day when the mission starts is zero.
PX00;Profiling direction;The float can perform descending profiles or ascending profiles or both.;CONFIG_Direction_NUMBER;Ascending = 1, Descending = 2, Ascending and Descending = 3
PH01;Max valve duration at surface;Maximum duration of valve at surface;CONFIG_SurfaceValveMaxTimeAdditionalActions_dsec;Maximum duration of the additional valve actions performed at the surface during the buoyancy reduction phase.
PH02;Max oil transfered during descent;Maximum of oil volume transfered via the valve during descent;CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction.
PH03;Min oil transfered during descent;Minimum of oil volume transfered via the valve during descent;CONFIG_OilVolumeMinPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMinPerValveAction_cm^3 is converted to a minDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a brief valve action duration and the result must be thresholded by minDurationOfValveAction.
PH04;Max pump for depth correction;Maximum pump activation during depth correction;CONFIG_PumpActionMaxTimeReposition_dsec;Maximum duration of the pump action for a drift readjustment.
PH05;Pump action duration during ascent;Max value of pump activation during ascending profile;CONFIG_PumpActionMaxTimeAscent_dsec;Maximum duration of a pump action during ascent.
PH06;Pump action duration at surface;Pump activation at surface after emptying the reservoir;CONFIG_PumpActionTimeBuoyancyAcquisition_dsec;Duration of the last pump action of the buoyancy acquisition phase.
PH07;Delay after ascent end threshold;Waiting delay after end of ascent pressure threshold was reached;CONFIG_TimeDelayAfterEndOfAscentPressureThreshold_minutes;At the end of the ascent phase, when the float detects a given pressure (Ex: 6 dbar) it waits for this time delay before starting the pump for the final buoyancy acquisition.
PH08;Max pump duration at surface;Pump activation required to empty the reservoir;CONFIG_PumpActionMaxTimeBuoyancyAcquisition_dsec;Maximum duration of the last pump action of the buoyancy acquisition phase.
PH09;Float control sampling period - ascent;Pressure sampling period during ascent;CONFIG_PressureCheckTimeAscent_minutes;Period of the pressure checks during the float ascent to surface.
PH10;Float control sampling period - surface;Pressure sampling period at surface;CONFIG_PressureCheckTimeBuoyancyReductionPhase_minutes;Time delay after each valve action before checking the pressure during the buoyancy reduction phase.
PH11;Float control sampling period - descent;Pressure sampling period during descent;CONFIG_PressureCheckTimeDescent_minutes;Period of the pressure checks during the float descent.
PH12;Float control sampling period - parking;Pressure sampling period during parking;CONFIG_PressureCheckTimeParking_minutes;Period of the pressure checks during the float drift at park or profile depth.
PH13;Float control sampling period - stabilization;Pressure sampling period during stabilization phase;CONFIG_PressureCheckTimeStabilization_minutes;Period of the pressure checks during the float stabilization phases.
PH14;Parking depth tolerance for stabilization;Error on pressure target when positioning at parking;CONFIG_PressureTargetToleranceForStabilisationAtParkingDepth_dbar;Defines the target pressure interval for float stabilisation at parking depth (in dbars).
PH15;Nb samples out of tolerance for repositioning;Maximum number of pressure samples out of the tolerance before repositioning;CONFIG_NumberOfOutOfTolerancePresBeforeReposition_COUNT;Number of consecutive pressure measurements outside the target pressure interval before performing a drift readjustment.
PH16;Parking depth tolerance for repositioning;Pressure tolerance around parking;CONFIG_PressureTargetToleranceDuringDriftAtParkingDepth_dbar;Defines the target pressure interval for float drift at parking depth (in dbars).
PH17;Emergency ascent pressure;Emergency ascent pressure threshold;CONFIG_PressureMaxBeforeEmergencyAscent_dbar;Emergency ascent phase start pressure (in dbars).
PH18;Buoyancy reduction second threshold;Pressure threshold between surface and descent phases;CONFIG_BuoyancyReductionSecondThreshold_dbar;Second threshold of the buoyancy reduction phase (in dbars). From the first threshold to this second threshold, the float performs N2 additional valve actions (of computed durations) until the crossing of this second threshold. The descent to park phase starts at the crossing of this second threshold.
PH19;Grounding mode;Grounding mode;CONFIG_GroundingMode_LOGICAL;Action performed by the float when a grounding is detected. 0: the float changes its drift pressure, 1: the float stays on the seabed until the next phase of the cycle.
PH20;Surface grounding criteria;Maximum number of valve activation before grounding detection at surface;CONFIG_MinValveActionForSurfaceGroundingDetection_COUNT;Minimum number of surface valve attempts without change in pressure to set the surface grounding flag.
PH21;Deep grounding criteria;Cumulated oil transfer without moving using the valve before grounding detection during descent;CONFIG_OilVolumeMinForGroundingDetection_cm^3;This information is a threshold used to detect a grounding of the float. If there is no vertical motion after having tranfered CONFIG_OilVolumeMinForGroundingDetection_cm^3 through the valve, the gounded flag is activated and the float acts as configurated by the CONFIG_GroundingMode_LOGICAL parameter.So, yes it is a configuration parameter (and I can easily understand that it can be modified via remote control since some PROVOR floats have experienced erroneous grounding detection (under study but perhaps due to in-situ conditions).
PH22;Shallowest pressure to apply first grounding mode;Grounding pressure threshold before depth correction is applied;CONFIG_GroundingModeMinPresThreshold_dbar;If in grounding mode 0, the float changes its drift pressure only if its current pressure is greater than this value.
PH23;Pressure correction for first grounding mode;Pressure correction when grounding;CONFIG_GroundingModePresAdjustment_dbar;If in grounding mode 0, the float changes its drift pressure to its programmed one minus this value only if its current pressure is greater than this value.
PH25;GPS timeout;GPS timeout;CONFIG_GPSTimeout_seconds;Timeout for GPS acquisition.
PH26;Profile depth tolerance for stabilization;Error on pressure target when positioning at profile depth;CONFIG_PressureTargetToleranceForStabilisationAtProfileDepth_dbar;Defines the target pressure interval for float stabilisation at profile depth (in dbars).
PH27;Profile depth tolerance for repositioning;Pressure tolerance around parking at profile depth;CONFIG_PressureTargetToleranceDuringDriftAtProfileDepth_dbar;Defines the target pressure interval for float drift at profile depth (in dbars).
PH29;Top bin interval;Top bin interval;CONFIG_ProfileSurfaceBinInterval_cbar;Depth intervals for shallow depth (algorithm of data reduction).
PH30;Top bin size;Top bin size;CONFIG_ProfileSurfaceSlicesThickness_cbar;Thickness of the slices for shallow depths (algorithm of data reduction).
PH31;Top bin max;Top bin max;CONFIG_PressureThresholdDataReductionShallowToIntermediate_cbar;The isobar that divides shallow depths from intermediate depths for the purpose of data reduction with 3 depth zones.
PH32;Middle bin interval;Middle bin interval;CONFIG_ProfileIntermediateBinInterval_cbar;Depth intervals for intermediate depth (algorithm of data reduction).
PH33;Middle bin size;Middle bin size;CONFIG_ProfileIntermediateSlicesThickness_cbar;Thickness of the slices for intermediate depths (algorithm of data reduction).
PH34;Middle bin max;Middle bin max;CONFIG_PressureThresholdDataReductionIntermediateToDeep_cbar;The isobar that divides intermediate depths from deep depths for the purpose of data reduction with 3 depth zones (in dbars).
PH35;Bottom bin interval;Bottom bin interval;CONFIG_ProfileBottomBinInterval_cbar;Depth intervals for bottom depth (algorithm of data reduction).
PH36;Bottom bin size;Bottom bin size;CONFIG_ProfileBottomSlicesThickness_cbar;Thickness of the slices for deep depths (algorithm of data reduction).
PH37;Transition bins enable;Transition bins enable (0: disable, 1: enable);CONFIG_ProfileIncludeTransitionBin_LOGICAL;Calculate transition bins between depth zones (shallow/intermediate/bottom) (algorithm of data reduction).
PH38;Data reduction type;Data reduction type (0: bin method, 1: pressure point selection method);CONFIG_ProfileSamplingMethod_LOGICAL;Have to convert string input to LOGICAL (1 = averaged, 0 = spot sampling)
